"","id_ci","id_main","date","visit","water_status","lodging","crop_info","devel_stage","sample","nt","np","nl","Snail","Rat injury","Deadheart","Silvershoot","Whitehead","Panicle mite","Rice bug injury","Rice thrip","Leaffolder","Leaf miner","Rice hispa","Whorl maggot","Bacterial leaf blight","Bacterial leaf streak","Brown spot","Leaf blast","Leaf scald","Narrow brown spot","Red stripe","Dirty panicle","False smut","Neck blast","Sheath blight","Sheath rot","Bakanae","Bird injury","Rice grain bug injury","Stem rot"
"1",1,3,"2014-03-11",1,8,0,2,9,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,3,"2014-03-11",1,8,0,2,9,2,11,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"3",1,3,"2014-03-11",1,8,0,2,9,3,12,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,3,"2014-03-11",1,8,0,2,9,4,10,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5",1,3,"2014-03-11",1,8,0,2,9,5,13,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,3,"2014-03-11",1,8,0,2,9,6,8,0,5,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,3,"2014-03-11",1,8,0,2,9,7,11,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,3,"2014-03-11",1,8,0,2,9,8,9,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,3,"2014-03-11",1,8,0,2,9,9,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,3,"2014-03-11",1,8,0,2,9,10,14,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
